segmentation_mode,method,queries,seed_hit_rate,recall_at_k,mrr,evidence_hit_rate,beyond_adjacency_evidence_hit_rate
seg_paragraph,adjacency,196,0.22959183673469388,1.0,1.0,0.7704081632653061,0.8387096774193549
seg_paragraph,bridge_final,196,0.25510204081632654,1.0,1.0,0.8214285714285714,0.946236559139785
seg_paragraph_pair,adjacency,196,0.2602040816326531,1.0,1.0,0.8061224489795918,0.9080459770114943
seg_paragraph_pair,bridge_final,196,0.2857142857142857,1.0,1.0,0.8418367346938775,0.9885057471264368
seg_micro_chunk,adjacency,196,0.1989795918367347,1.0,1.0,0.7040816326530612,0.7477477477477478
seg_micro_chunk,bridge_final,196,0.20918367346938777,1.0,1.0,0.7346938775510204,0.8108108108108109
