EM,F1,empty_rate,evidence_coverage,evidence_hit,method,seed_hit,split
0.2074,0.3022,0.2419,0.7862,0.889,flat_hybrid_current,0.889,test
0.1992,0.2343,0.4431,0.769,0.8739,bridge_final_current,0.8119,test
