approx_gold_evidence_words_retrieved,avg_fraction_of_paper_retrieved,avg_latency_ms,avg_paper_words,avg_retrieved_units,avg_retrieved_words,evidence_coverage_per_1000_words,evidence_coverage_per_unit,evidence_coverage_rate,evidence_hit_per_1000_words,evidence_hit_per_unit,evidence_hit_rate,family_name,first_evidence_rank,gold_evidence_density,harness_name,median_fraction_of_paper_retrieved,median_retrieved_words,non_gold_context_burden,p95_fraction_of_paper_retrieved,p95_latency_ms,p95_retrieved_words,question_count,seed_hit_rate
123.85436238816833,0.7128472102244994,0.27674129353233845,3427.5671641791046,19.770149253731343,2070.0835820895522,0.3375048385488515,0.03533929947564252,0.6986632251557625,0.38838050137615515,0.04066636468871106,0.8039800995024876,fixed_120_30,5.643564356435643,0.060148673114239735,dense_only_baseline,0.6404526166902405,2112.0,1946.2292197013842,1.1875,0.51,2311.0,1005,0.8039800995024876
125.38256615890941,0.7134586358862467,0.5591452736318402,3427.5671641791046,19.770149253731343,2071.866666666667,0.33877714275999593,0.03550307387692261,0.7019010695130102,0.3885265096103881,0.04071669434797927,0.8049751243781095,fixed_120_30,5.328800988875154,0.06080944259308952,simple_hybrid_baseline,0.6402677077523703,2108.0,1946.4841005077571,1.1875,1.012,2309.0,1005,0.8049751243781095
115.14185138035882,0.5832273750043175,0.6359144278606955,3427.5671641791046,16.80398009950249,1718.9611940298507,0.37856810234956007,0.03872558009371131,0.6507438772364146,0.44571637619851395,0.04559450497394599,0.7661691542288557,fixed_120_30,2.8557536466774716,0.06858110666569944,simple_hybrid_minimal_adjacency_control,0.5396425874653914,1720.0,1603.8193426494918,0.9534883720930233,1.293,2160.0,1005,0.6139303482587065
121.3977660612735,0.7203720259579569,0.418046766169154,3427.5671641791046,19.770149253731343,2092.859701492537,0.3225852524747986,0.03414873942202945,0.6751256752003016,0.37226789595896786,0.03940812320700589,0.7791044776119403,fixed_120_30,6.003831417624521,0.0584140394462972,sparse_only_baseline,0.6490891658676894,2134.0,1971.461935431264,1.1875,0.796,2311.0,1005,0.7791044776119403
136.28105714068397,0.850062065041087,0.1979233830845774,3427.5671641791046,19.28457711442786,2531.63184079602,0.2960627802626946,0.03886639343659106,0.7495219613876332,0.3305440810599421,0.04339301377637893,0.83681592039801,fixed_160_40,5.12128418549346,0.05469604752461774,dense_only_baseline,0.7988135156048491,2623.0,2395.350783655337,1.2377093462992976,0.373,2986.0,1005,0.83681592039801
138.52487504853175,0.852179345997864,0.38202587064676585,3427.5671641791046,19.28457711442786,2540.2199004975123,0.30064202675693597,0.03960143148394529,0.7636968592938743,0.3341270646447736,0.04401217687425829,0.8487562189054726,fixed_160_40,4.937866354044549,0.055345098217605346,simple_hybrid_baseline,0.7967401725790988,2627.0,2401.695025448981,1.2377093462992976,0.706,2987.0,1005,0.8487562189054726
124.99940147261037,0.6839669456586925,0.6307999999999994,3427.5671641791046,15.917412935323384,2048.5512437810944,0.3399451493699875,0.04375051783784672,0.6963950585592378,0.38906272312820034,0.050071888479089825,0.7970149253731343,fixed_160_40,2.9620991253644315,0.06248841821836001,simple_hybrid_minimal_adjacency_control,0.6443172526573998,2057.0,1923.5518423084848,1.0856531049250535,1.348,2697.0,1005,0.6825870646766169
133.78988465301893,0.8624963866671411,0.3004636815920399,3427.5671641791046,19.28457711442786,2576.660696517413,0.2871909012912989,0.038372296336281676,0.7399935077547017,0.3220644252424365,0.043031835302615964,0.8298507462686567,fixed_160_40,5.54916067146283,0.052957175983469267,sparse_only_baseline,0.8176064441887226,2673.0,2442.8708118643945,1.2336367576939749,0.575,3000.0,1005,0.8298507462686567
145.52672488053088,0.9752914470997821,0.21954825870646766,3427.5671641791046,18.188059701492538,3022.8547263681594,0.260393028398561,0.04327730992346124,0.7871302966079085,0.2840713647835116,0.04721264839433229,0.8587064676616916,fixed_220_60,4.597914252607184,0.050208461274204676,dense_only_baseline,1.0107637109174783,3166.0,2877.328001487629,1.2504638218923934,0.345,3913.0,1005,0.8587064676616916
146.56426587568382,0.9768238347169834,0.26386368159204,3427.5671641791046,18.188059701492538,3029.8109452736317,0.2628018311968183,0.0437781642278606,0.7962398645980735,0.2860464505280858,0.04765030909787187,0.8666666666666667,fixed_220_60,4.373134328358209,0.050411272853021945,simple_hybrid_baseline,1.0106638229805385,3193.0,2883.2466793979484,1.2504638218923934,0.495,3913.0,1005,0.8666666666666667
